Country,Country_Code,Time_Stamp,Cases
Belgium,BEL,1/25/20 0:00,0.0
Cambodia,KHM,1/25/20 0:00,0.0
Canada,CAN,1/25/20 0:00,0.0
Finland,FIN,1/25/20 0:00,0.0
France,FRA,1/25/20 0:00,3.0
Germany,DEU,1/25/20 0:00,0.0
Hong Kong,HKG,1/25/20 0:00,5.0
India,IND,1/25/20 0:00,0.0
Italy,ITA,1/25/20 0:00,0.0
Japan,JPN,1/25/20 0:00,2.0
Macao,MAC,1/25/20 0:00,2.0
Malaysia,MYS,1/25/20 0:00,3.0
Nepal,NPL,1/25/20 0:00,1.0
Philippines,PHL,1/25/20 0:00,0.0
Russian Federation,RUS,1/25/20 0:00,0.0
Singapore,SGP,1/25/20 0:00,3.0
"Korea, Republic of",KOR,1/25/20 0:00,2.0
Spain,ESP,1/25/20 0:00,0.0
Sri Lanka,LKA,1/25/20 0:00,0.0
Sweden,SWE,1/25/20 0:00,0.0
"Taiwan, Province of China",TWN,1/25/20 0:00,3.0
Thailand,THA,1/25/20 0:00,5.0
United Kingdom,GBR,1/25/20 0:00,0.0
United States,USA,1/25/20 0:00,2.0
United Arab Emirates,ARE,1/25/20 0:00,0.0
Viet Nam,VNM,1/25/20 0:00,2.0
Australia,AUS,1/25/20 12:00,0.0
Belgium,BEL,1/25/20 12:00,0.0
Cambodia,KHM,1/25/20 12:00,0.0
Canada,CAN,1/25/20 12:00,0.0
Finland,FIN,1/25/20 12:00,0.0
France,FRA,1/25/20 12:00,3.0
Germany,DEU,1/25/20 12:00,0.0
Hong Kong,HKG,1/25/20 12:00,5.0
India,IND,1/25/20 12:00,0.0
Italy,ITA,1/25/20 12:00,0.0
Japan,JPN,1/25/20 12:00,2.0
Macao,MAC,1/25/20 12:00,2.0
Malaysia,MYS,1/25/20 12:00,3.0
Nepal,NPL,1/25/20 12:00,1.0
Philippines,PHL,1/25/20 12:00,0.0
Russian Federation,RUS,1/25/20 12:00,0.0
Singapore,SGP,1/25/20 12:00,3.0
"Korea, Republic of",KOR,1/25/20 12:00,2.0
Spain,ESP,1/25/20 12:00,0.0
Sri Lanka,LKA,1/25/20 12:00,0.0
Sweden,SWE,1/25/20 12:00,0.0
"Taiwan, Province of China",TWN,1/25/20 12:00,3.0
Thailand,THA,1/25/20 12:00,7.0
United Kingdom,GBR,1/25/20 12:00,0.0
United States,USA,1/25/20 12:00,2.0
United Arab Emirates,ARE,1/25/20 12:00,0.0
Viet Nam,VNM,1/25/20 12:00,2.0
Australia,AUS,1/25/20 22:00,0.0
Belgium,BEL,1/25/20 22:00,0.0
Cambodia,KHM,1/25/20 22:00,0.0
Canada,CAN,1/25/20 22:00,0.0
Finland,FIN,1/25/20 22:00,0.0
France,FRA,1/25/20 22:00,3.0
Germany,DEU,1/25/20 22:00,0.0
Hong Kong,HKG,1/25/20 22:00,5.0
India,IND,1/25/20 22:00,0.0
Italy,ITA,1/25/20 22:00,0.0
Japan,JPN,1/25/20 22:00,2.0
Macao,MAC,1/25/20 22:00,2.0
Malaysia,MYS,1/25/20 22:00,3.0
Nepal,NPL,1/25/20 22:00,1.0
Philippines,PHL,1/25/20 22:00,0.0
Russian Federation,RUS,1/25/20 22:00,0.0
Singapore,SGP,1/25/20 22:00,3.0
"Korea, Republic of",KOR,1/25/20 22:00,2.0
Spain,ESP,1/25/20 22:00,0.0
Sri Lanka,LKA,1/25/20 22:00,0.0
Sweden,SWE,1/25/20 22:00,0.0
"Taiwan, Province of China",TWN,1/25/20 22:00,3.0
Thailand,THA,1/25/20 22:00,7.0
United Kingdom,GBR,1/25/20 22:00,0.0
United States,USA,1/25/20 22:00,2.0
United Arab Emirates,ARE,1/25/20 22:00,0.0
Viet Nam,VNM,1/25/20 22:00,2.0
Australia,AUS,1/26/20 11:00,4.0
Belgium,BEL,1/26/20 11:00,0.0
Cambodia,KHM,1/26/20 11:00,0.0
Canada,CAN,1/26/20 11:00,1.0
Finland,FIN,1/26/20 11:00,0.0
France,FRA,1/26/20 11:00,3.0
Germany,DEU,1/26/20 11:00,0.0
Hong Kong,HKG,1/26/20 11:00,8.0
India,IND,1/26/20 11:00,0.0
Italy,ITA,1/26/20 11:00,0.0
Japan,JPN,1/26/20 11:00,4.0
Macao,MAC,1/26/20 11:00,5.0
Malaysia,MYS,1/26/20 11:00,4.0
Nepal,NPL,1/26/20 11:00,1.0
Philippines,PHL,1/26/20 11:00,0.0
Russian Federation,RUS,1/26/20 11:00,0.0
Singapore,SGP,1/26/20 11:00,4.0
"Korea, Republic of",KOR,1/26/20 11:00,3.0
Spain,ESP,1/26/20 11:00,0.0
Sri Lanka,LKA,1/26/20 11:00,0.0
Sweden,SWE,1/26/20 11:00,0.0
"Taiwan, Province of China",TWN,1/26/20 11:00,4.0
Thailand,THA,1/26/20 11:00,8.0
United Kingdom,GBR,1/26/20 11:00,0.0
United States,USA,1/26/20 11:00,5.0
United Arab Emirates,ARE,1/26/20 11:00,0.0
Viet Nam,VNM,1/26/20 11:00,2.0
Australia,AUS,1/26/20 23:00,4.0
Belgium,BEL,1/26/20 23:00,0.0
Cambodia,KHM,1/26/20 23:00,0.0
Canada,CAN,1/26/20 23:00,1.0
Finland,FIN,1/26/20 23:00,0.0
France,FRA,1/26/20 23:00,3.0
Germany,DEU,1/26/20 23:00,0.0
Hong Kong,HKG,1/26/20 23:00,8.0
India,IND,1/26/20 23:00,0.0
Italy,ITA,1/26/20 23:00,0.0
Japan,JPN,1/26/20 23:00,4.0
Macao,MAC,1/26/20 23:00,6.0
Malaysia,MYS,1/26/20 23:00,4.0
Nepal,NPL,1/26/20 23:00,1.0
Philippines,PHL,1/26/20 23:00,0.0
Russian Federation,RUS,1/26/20 23:00,0.0
Singapore,SGP,1/26/20 23:00,4.0
"Korea, Republic of",KOR,1/26/20 23:00,3.0
Spain,ESP,1/26/20 23:00,0.0
Sri Lanka,LKA,1/26/20 23:00,0.0
Sweden,SWE,1/26/20 23:00,0.0
"Taiwan, Province of China",TWN,1/26/20 23:00,4.0
Thailand,THA,1/26/20 23:00,8.0
United Kingdom,GBR,1/26/20 23:00,0.0
United States,USA,1/26/20 23:00,5.0
United Arab Emirates,ARE,1/26/20 23:00,0.0
Viet Nam,VNM,1/26/20 23:00,2.0
Australia,AUS,1/27/20 9:00,5.0
Belgium,BEL,1/27/20 9:00,0.0
Cambodia,KHM,1/27/20 9:00,1.0
Canada,CAN,1/27/20 9:00,1.0
Finland,FIN,1/27/20 9:00,0.0
France,FRA,1/27/20 9:00,3.0
Germany,DEU,1/27/20 9:00,0.0
Hong Kong,HKG,1/27/20 9:00,8.0
India,IND,1/27/20 9:00,0.0
Italy,ITA,1/27/20 9:00,0.0
Japan,JPN,1/27/20 9:00,4.0
Macao,MAC,1/27/20 9:00,6.0
Malaysia,MYS,1/27/20 9:00,4.0
Nepal,NPL,1/27/20 9:00,1.0
Philippines,PHL,1/27/20 9:00,0.0
Russian Federation,RUS,1/27/20 9:00,0.0
Singapore,SGP,1/27/20 9:00,4.0
"Korea, Republic of",KOR,1/27/20 9:00,4.0
Spain,ESP,1/27/20 9:00,0.0
Sri Lanka,LKA,1/27/20 9:00,0.0
Sweden,SWE,1/27/20 9:00,0.0
"Taiwan, Province of China",TWN,1/27/20 9:00,5.0
Thailand,THA,1/27/20 9:00,8.0
United Kingdom,GBR,1/27/20 9:00,0.0
United States,USA,1/27/20 9:00,5.0
United Arab Emirates,ARE,1/27/20 9:00,0.0
Viet Nam,VNM,1/27/20 9:00,2.0
Australia,AUS,1/27/20 19:00,5.0
Belgium,BEL,1/27/20 19:00,0.0
Cambodia,KHM,1/27/20 19:00,1.0
Canada,CAN,1/27/20 19:00,1.0
Finland,FIN,1/27/20 19:00,0.0
France,FRA,1/27/20 19:00,3.0
Germany,DEU,1/27/20 19:00,0.0
Hong Kong,HKG,1/27/20 19:00,8.0
India,IND,1/27/20 19:00,0.0
Italy,ITA,1/27/20 19:00,0.0
Japan,JPN,1/27/20 19:00,4.0
Macao,MAC,1/27/20 19:00,6.0
Malaysia,MYS,1/27/20 19:00,4.0
Nepal,NPL,1/27/20 19:00,1.0
Philippines,PHL,1/27/20 19:00,0.0
Russian Federation,RUS,1/27/20 19:00,0.0
Singapore,SGP,1/27/20 19:00,5.0
